WKT,CGI
"POLYGON ((116.115775862069 40.14, 116.115775862069 40.13666530447968, 116.11 40.13333060895936, 116.11 40.14, 116.115775862069 40.14))",0
"POLYGON ((116.1273275862069 40.14, 116.1273275862069 40.13666530447968, 116.1215517241379 40.13333060895936, 116.115775862069 40.13666530447968, 116.115775862069 40.14, 116.1273275862069 40.14))",1
"POLYGON ((116.1388793103448 40.14, 116.1388793103448 40.13666530447968, 116.1331034482759 40.13333060895936, 116.1273275862069 40.13666530447968, 116.1273275862069 40.14, 116.1388793103448 40.14))",2
"POLYGON ((116.1504310344828 40.14, 116.1504310344828 40.13666530447968, 116.1446551724138 40.13333060895936, 116.1388793103448 40.13666530447968, 116.1388793103448 40.14, 116.1504310344828 40.14))",3
"POLYGON ((116.1619827586207 40.14, 116.1619827586207 40.13666530447968, 116.1562068965517 40.13333060895936, 116.1504310344828 40.13666530447968, 116.1504310344828 40.14, 116.1619827586207 40.14))",4
"POLYGON ((116.1735344827586 40.14, 116.1735344827586 40.13666530447968, 116.1677586206897 40.13333060895936, 116.1619827586207 40.13666530447968, 116.1619827586207 40.14, 116.1735344827586 40.14))",5
"POLYGON ((116.1850862068966 40.14, 116.1850862068966 40.13666530447968, 116.1793103448276 40.13333060895936, 116.1735344827586 40.13666530447968, 116.1735344827586 40.14, 116.1850862068966 40.14))",6
"POLYGON ((116.1966379310345 40.14, 116.1966379310345 40.13666530447968, 116.1908620689655 40.13333060895936, 116.1850862068965 40.13666530447968, 116.1850862068965 40.14, 116.1966379310345 40.14))",7
"POLYGON ((116.2081896551724 40.14, 116.2081896551724 40.13666530447968, 116.2024137931034 40.13333060895936, 116.1966379310345 40.13666530447968, 116.1966379310345 40.14, 116.2081896551724 40.14))",8
"POLYGON ((116.2197413793103 40.14, 116.2197413793103 40.13666530447968, 116.2139655172414 40.13333060895936, 116.2081896551724 40.13666530447968, 116.2081896551724 40.14, 116.2197413793103 40.14))",9
"POLYGON ((116.2312931034483 40.14, 116.2312931034483 40.13666530447968, 116.2255172413793 40.13333060895936, 116.2197413793103 40.13666530447968, 116.2197413793103 40.14, 116.2312931034483 40.14))",10
"POLYGON ((116.2428448275862 40.14, 116.2428448275862 40.13666530447968, 116.2370689655172 40.13333060895936, 116.2312931034483 40.13666530447968, 116.2312931034483 40.14, 116.2428448275862 40.14))",11
"POLYGON ((116.2543965517241 40.14, 116.2543965517241 40.13666530447968, 116.2486206896552 40.13333060895936, 116.2428448275862 40.13666530447968, 116.2428448275862 40.14, 116.2543965517241 40.14))",12
"POLYGON ((116.2659482758621 40.14, 116.2659482758621 40.13666530447968, 116.2601724137931 40.13333060895936, 116.2543965517241 40.13666530447968, 116.2543965517241 40.14, 116.2659482758621 40.14))",13
"POLYGON ((116.2775 40.14, 116.2775 40.13666530447968, 116.271724137931 40.13333060895936, 116.2659482758621 40.13666530447968, 116.2659482758621 40.14, 116.2775 40.14))",14
